City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
333,nemuro,43.32,145.57,37.15,78,7,16.37,JP,1605020829
334,batagay,67.63,134.63,-19.93,80,100,3.44,RU,1605020829
335,leh,34.17,77.58,35.38,56,99,3.96,IN,1605020830
336,iroquois falls,48.77,-80.68,57.2,93,90,5.82,CA,1605020830
337,flin flon,54.77,-101.86,1.4,84,75,4.7,CA,1605020830
338,linqiong,30.42,103.46,68.0,82,66,4.47,CN,1605020830
339,bara,10.37,10.73,92.1,20,31,5.08,NG,1605020831
340,klaksvik,62.23,-6.59,51.8,100,100,16.11,FO,1605020831
341,tutoia,-2.76,-42.27,89.55,54,22,14.81,BR,1605020666
342,dangara,29.68,75.89,68.9,26,0,4.07,IN,1605020831
343,san quintin,30.48,-115.95,56.5,54,0,3.2,MX,1605020831
344,san francisco,37.77,-122.42,46.0,56,1,3.36,US,1605020532
345,plerin,48.54,-2.78,59.0,67,0,4.7,FR,1605020832
346,iwanai,42.97,140.51,33.19,93,98,9.6,JP,1605020832
347,kapoeta,4.77,33.59,87.87,40,31,8.63,SS,1605020832
348,novopokrovka,49.84,36.55,41.0,75,75,8.95,UA,1605020832
349,reno,39.53,-119.81,27.0,79,75,3.44,US,1605020794
350,nouadhibou,20.93,-17.03,96.8,9,0,5.82,MR,1605020832
351,santa adelia,-21.24,-48.8,82.51,56,100,11.77,BR,1605020542
352,roma,43.21,-75.46,64.99,76,1,4.7,US,1605020832
353,giyani,-23.3,30.72,85.89,38,1,12.08,ZA,1605020833
354,george town,5.41,100.34,84.2,79,20,5.82,MY,1605020812
355,dongning,44.06,131.12,26.08,78,2,2.19,CN,1605020833
356,bac lieu,9.29,105.72,75.42,82,100,7.49,VN,1605020785
357,tilichiki,60.47,166.1,9.7,94,39,9.75,RU,1605020833
358,paamiut,61.99,-49.67,24.21,93,100,4.23,GL,1605020587
359,port hardy,50.7,-127.42,39.2,100,90,7.2,CA,1605020673
360,woodward,36.43,-99.39,39.99,60,90,10.29,US,1605020545
361,mitsamiouli,-11.38,43.28,79.92,75,92,10.67,KM,1605020834
362,pyay,18.82,95.22,74.1,83,0,5.61,MM,1605020834
363,guiren,33.67,118.19,54.84,47,0,4.45,CN,1605020834
364,asau,46.43,26.4,41.0,89,100,3.11,RO,1605020834
365,sokoni,-6.43,39.55,80.6,74,75,5.82,TZ,1605020835
366,saldanha,-33.01,17.94,71.6,37,0,19.46,ZA,1605020835
367,kinango,-4.14,39.32,82.4,74,40,5.82,KE,1605020835
368,mujiayingzi,42.12,118.78,39.72,64,0,7.58,CN,1605020835
369,mount abu,24.6,72.7,62.76,30,0,3.71,IN,1605020835
370,mersing,2.43,103.84,77.0,94,53,4.7,MY,1605020836
